,im_uuid,medical_center,slide_id,patch_id,bio_class
38,VALSET1_UKK_case_017_advent.5434_ADVENT,VALSET1_UKK,case_017,advent.5434,ADVENT
39,VALSET1_UKK_case_017_advent.6132_ADVENT,VALSET1_UKK,case_017,advent.6132,ADVENT
40,VALSET1_UKK_case_017_advent.6055_ADVENT,VALSET1_UKK,case_017,advent.6055,ADVENT
41,VALSET1_UKK_case_017_advent.5512_ADVENT,VALSET1_UKK,case_017,advent.5512,ADVENT
42,VALSET1_UKK_case_017_advent.5886_ADVENT,VALSET1_UKK,case_017,advent.5886,ADVENT
43,VALSET1_UKK_case_017_advent.5925_ADVENT,VALSET1_UKK,case_017,advent.5925,ADVENT
44,VALSET1_UKK_case_017_advent.5859_ADVENT,VALSET1_UKK,case_017,advent.5859,ADVENT
45,VALSET1_UKK_case_017_advent.5260_ADVENT,VALSET1_UKK,case_017,advent.5260,ADVENT
46,VALSET1_UKK_case_017_advent.5823_ADVENT,VALSET1_UKK,case_017,advent.5823,ADVENT
47,VALSET1_UKK_case_017_advent.6061_ADVENT,VALSET1_UKK,case_017,advent.6061,ADVENT
48,VALSET1_UKK_case_017_advent.6059_ADVENT,VALSET1_UKK,case_017,advent.6059,ADVENT
49,VALSET1_UKK_case_017_advent.5979_ADVENT,VALSET1_UKK,case_017,advent.5979,ADVENT
50,VALSET1_UKK_case_017_advent.5405_ADVENT,VALSET1_UKK,case_017,advent.5405,ADVENT
51,VALSET1_UKK_case_017_advent.6066_ADVENT,VALSET1_UKK,case_017,advent.6066,ADVENT
52,VALSET1_UKK_case_017_advent.6118_ADVENT,VALSET1_UKK,case_017,advent.6118,ADVENT
53,VALSET1_UKK_case_017_advent.5237_ADVENT,VALSET1_UKK,case_017,advent.5237,ADVENT
54,VALSET1_UKK_case_017_advent.5474_ADVENT,VALSET1_UKK,case_017,advent.5474,ADVENT
55,VALSET1_UKK_case_017_advent.5517_ADVENT,VALSET1_UKK,case_017,advent.5517,ADVENT
56,VALSET1_UKK_case_017_advent.5796_ADVENT,VALSET1_UKK,case_017,advent.5796,ADVENT
57,VALSET1_UKK_case_017_advent.5191_ADVENT,VALSET1_UKK,case_017,advent.5191,ADVENT
58,VALSET1_UKK_case_017_advent.6104_ADVENT,VALSET1_UKK,case_017,advent.6104,ADVENT
59,VALSET1_UKK_case_017_advent.5830_ADVENT,VALSET1_UKK,case_017,advent.5830,ADVENT
60,VALSET1_UKK_case_017_advent.5273_ADVENT,VALSET1_UKK,case_017,advent.5273,ADVENT
61,VALSET1_UKK_case_017_advent.5252_ADVENT,VALSET1_UKK,case_017,advent.5252,ADVENT
62,VALSET1_UKK_case_017_advent.5293_ADVENT,VALSET1_UKK,case_017,advent.5293,ADVENT
63,VALSET1_UKK_case_017_advent.5844_ADVENT,VALSET1_UKK,case_017,advent.5844,ADVENT
64,VALSET1_UKK_case_017_advent.6122_ADVENT,VALSET1_UKK,case_017,advent.6122,ADVENT
65,VALSET1_UKK_case_017_advent.5635_ADVENT,VALSET1_UKK,case_017,advent.5635,ADVENT
66,VALSET1_UKK_case_017_advent.5500_ADVENT,VALSET1_UKK,case_017,advent.5500,ADVENT
67,VALSET1_UKK_case_017_advent.5149_ADVENT,VALSET1_UKK,case_017,advent.5149,ADVENT
68,VALSET1_UKK_case_017_advent.5532_ADVENT,VALSET1_UKK,case_017,advent.5532,ADVENT
69,VALSET1_UKK_case_017_advent.5768_ADVENT,VALSET1_UKK,case_017,advent.5768,ADVENT
70,VALSET1_UKK_case_017_advent.5235_ADVENT,VALSET1_UKK,case_017,advent.5235,ADVENT
71,VALSET1_UKK_case_017_advent.5551_ADVENT,VALSET1_UKK,case_017,advent.5551,ADVENT
72,VALSET1_UKK_case_017_advent.5128_ADVENT,VALSET1_UKK,case_017,advent.5128,ADVENT
73,VALSET1_UKK_case_017_advent.5632_ADVENT,VALSET1_UKK,case_017,advent.5632,ADVENT
74,VALSET1_UKK_case_017_advent.5699_ADVENT,VALSET1_UKK,case_017,advent.5699,ADVENT
75,VALSET1_UKK_case_017_advent.5496_ADVENT,VALSET1_UKK,case_017,advent.5496,ADVENT
76,VALSET1_UKK_case_017_advent.6069_ADVENT,VALSET1_UKK,case_017,advent.6069,ADVENT
77,VALSET1_UKK_case_017_advent.5957_ADVENT,VALSET1_UKK,case_017,advent.5957,ADVENT
78,VALSET1_UKK_case_017_advent.5758_ADVENT,VALSET1_UKK,case_017,advent.5758,ADVENT
79,VALSET1_UKK_case_017_advent.5940_ADVENT,VALSET1_UKK,case_017,advent.5940,ADVENT
80,VALSET1_UKK_case_017_advent.5137_ADVENT,VALSET1_UKK,case_017,advent.5137,ADVENT
81,VALSET1_UKK_case_017_advent.5484_ADVENT,VALSET1_UKK,case_017,advent.5484,ADVENT
82,VALSET1_UKK_case_017_advent.5664_ADVENT,VALSET1_UKK,case_017,advent.5664,ADVENT
83,VALSET1_UKK_case_017_advent.5538_ADVENT,VALSET1_UKK,case_017,advent.5538,ADVENT
84,VALSET1_UKK_case_017_advent.5360_ADVENT,VALSET1_UKK,case_017,advent.5360,ADVENT
85,VALSET1_UKK_case_017_advent.5153_ADVENT,VALSET1_UKK,case_017,advent.5153,ADVENT
86,VALSET1_UKK_case_017_advent.5223_ADVENT,VALSET1_UKK,case_017,advent.5223,ADVENT
87,VALSET1_UKK_case_017_advent.5865_ADVENT,VALSET1_UKK,case_017,advent.5865,ADVENT
88,VALSET1_UKK_case_017_advent.5514_ADVENT,VALSET1_UKK,case_017,advent.5514,ADVENT
89,VALSET1_UKK_case_017_advent.5968_ADVENT,VALSET1_UKK,case_017,advent.5968,ADVENT
90,VALSET1_UKK_case_017_advent.5855_ADVENT,VALSET1_UKK,case_017,advent.5855,ADVENT
91,VALSET1_UKK_case_017_advent.5864_ADVENT,VALSET1_UKK,case_017,advent.5864,ADVENT
92,VALSET1_UKK_case_017_advent.5210_ADVENT,VALSET1_UKK,case_017,advent.5210,ADVENT
93,VALSET1_UKK_case_017_advent.5866_ADVENT,VALSET1_UKK,case_017,advent.5866,ADVENT
94,VALSET1_UKK_case_017_advent.5617_ADVENT,VALSET1_UKK,case_017,advent.5617,ADVENT
95,VALSET1_UKK_case_017_advent.5949_ADVENT,VALSET1_UKK,case_017,advent.5949,ADVENT
96,VALSET1_UKK_case_017_advent.6007_ADVENT,VALSET1_UKK,case_017,advent.6007,ADVENT
97,VALSET1_UKK_case_017_advent.5753_ADVENT,VALSET1_UKK,case_017,advent.5753,ADVENT
98,VALSET1_UKK_case_017_advent.6039_ADVENT,VALSET1_UKK,case_017,advent.6039,ADVENT
99,VALSET1_UKK_case_017_advent.5802_ADVENT,VALSET1_UKK,case_017,advent.5802,ADVENT
100,VALSET1_UKK_case_015_advent.3710_ADVENT,VALSET1_UKK,case_015,advent.3710,ADVENT
101,VALSET1_UKK_case_015_advent.4799_ADVENT,VALSET1_UKK,case_015,advent.4799,ADVENT
102,VALSET1_UKK_case_015_advent.5048_ADVENT,VALSET1_UKK,case_015,advent.5048,ADVENT
103,VALSET1_UKK_case_015_advent.3968_ADVENT,VALSET1_UKK,case_015,advent.3968,ADVENT
104,VALSET1_UKK_case_015_advent.4836_ADVENT,VALSET1_UKK,case_015,advent.4836,ADVENT
105,VALSET1_UKK_case_015_advent.4224_ADVENT,VALSET1_UKK,case_015,advent.4224,ADVENT
106,VALSET1_UKK_case_015_advent.4198_ADVENT,VALSET1_UKK,case_015,advent.4198,ADVENT
107,VALSET1_UKK_case_015_advent.3613_ADVENT,VALSET1_UKK,case_015,advent.3613,ADVENT
108,VALSET1_UKK_case_015_advent.4562_ADVENT,VALSET1_UKK,case_015,advent.4562,ADVENT
109,VALSET1_UKK_case_015_advent.5041_ADVENT,VALSET1_UKK,case_015,advent.5041,ADVENT
110,VALSET1_UKK_case_015_advent.3850_ADVENT,VALSET1_UKK,case_015,advent.3850,ADVENT
111,VALSET1_UKK_case_015_advent.4937_ADVENT,VALSET1_UKK,case_015,advent.4937,ADVENT
112,VALSET1_UKK_case_015_advent.3875_ADVENT,VALSET1_UKK,case_015,advent.3875,ADVENT
113,VALSET1_UKK_case_015_advent.3660_ADVENT,VALSET1_UKK,case_015,advent.3660,ADVENT
114,VALSET1_UKK_case_015_advent.3579_ADVENT,VALSET1_UKK,case_015,advent.3579,ADVENT
115,VALSET1_UKK_case_015_advent.4303_ADVENT,VALSET1_UKK,case_015,advent.4303,ADVENT
116,VALSET1_UKK_case_015_advent.4789_ADVENT,VALSET1_UKK,case_015,advent.4789,ADVENT
117,VALSET1_UKK_case_015_advent.5054_ADVENT,VALSET1_UKK,case_015,advent.5054,ADVENT
118,VALSET1_UKK_case_015_advent.4813_ADVENT,VALSET1_UKK,case_015,advent.4813,ADVENT
119,VALSET1_UKK_case_015_advent.4814_ADVENT,VALSET1_UKK,case_015,advent.4814,ADVENT
120,VALSET1_UKK_case_015_advent.4798_ADVENT,VALSET1_UKK,case_015,advent.4798,ADVENT
121,VALSET1_UKK_case_015_advent.5101_ADVENT,VALSET1_UKK,case_015,advent.5101,ADVENT
122,VALSET1_UKK_case_015_advent.5074_ADVENT,VALSET1_UKK,case_015,advent.5074,ADVENT
123,VALSET1_UKK_case_015_advent.3587_ADVENT,VALSET1_UKK,case_015,advent.3587,ADVENT
124,VALSET1_UKK_case_015_advent.3779_ADVENT,VALSET1_UKK,case_015,advent.3779,ADVENT
125,VALSET1_UKK_case_015_advent.3867_ADVENT,VALSET1_UKK,case_015,advent.3867,ADVENT
126,VALSET1_UKK_case_015_advent.4050_ADVENT,VALSET1_UKK,case_015,advent.4050,ADVENT
127,VALSET1_UKK_case_015_advent.3350_ADVENT,VALSET1_UKK,case_015,advent.3350,ADVENT
128,VALSET1_UKK_case_015_advent.3644_ADVENT,VALSET1_UKK,case_015,advent.3644,ADVENT
129,VALSET1_UKK_case_015_advent.4691_ADVENT,VALSET1_UKK,case_015,advent.4691,ADVENT
130,VALSET1_UKK_case_015_advent.3837_ADVENT,VALSET1_UKK,case_015,advent.3837,ADVENT
131,VALSET1_UKK_case_015_advent.5023_ADVENT,VALSET1_UKK,case_015,advent.5023,ADVENT
132,VALSET1_UKK_case_015_advent.4999_ADVENT,VALSET1_UKK,case_015,advent.4999,ADVENT
133,VALSET1_UKK_case_015_advent.4365_ADVENT,VALSET1_UKK,case_015,advent.4365,ADVENT
134,VALSET1_UKK_case_015_advent.4374_ADVENT,VALSET1_UKK,case_015,advent.4374,ADVENT
135,VALSET1_UKK_case_015_advent.4435_ADVENT,VALSET1_UKK,case_015,advent.4435,ADVENT
136,VALSET1_UKK_case_015_advent.5005_ADVENT,VALSET1_UKK,case_015,advent.5005,ADVENT
137,VALSET1_UKK_case_015_advent.4316_ADVENT,VALSET1_UKK,case_015,advent.4316,ADVENT
138,VALSET1_UKK_case_015_advent.3626_ADVENT,VALSET1_UKK,case_015,advent.3626,ADVENT
139,VALSET1_UKK_case_015_advent.3508_ADVENT,VALSET1_UKK,case_015,advent.3508,ADVENT
140,VALSET1_UKK_case_015_advent.5105_ADVENT,VALSET1_UKK,case_015,advent.5105,ADVENT
141,VALSET1_UKK_case_015_advent.4017_ADVENT,VALSET1_UKK,case_015,advent.4017,ADVENT
142,VALSET1_UKK_case_015_advent.4243_ADVENT,VALSET1_UKK,case_015,advent.4243,ADVENT
143,VALSET1_UKK_case_015_advent.3499_ADVENT,VALSET1_UKK,case_015,advent.3499,ADVENT
144,VALSET1_UKK_case_015_advent.3595_ADVENT,VALSET1_UKK,case_015,advent.3595,ADVENT
145,VALSET1_UKK_case_015_advent.3780_ADVENT,VALSET1_UKK,case_015,advent.3780,ADVENT
146,VALSET1_UKK_case_015_advent.3316_ADVENT,VALSET1_UKK,case_015,advent.3316,ADVENT
147,VALSET1_UKK_case_015_advent.4728_ADVENT,VALSET1_UKK,case_015,advent.4728,ADVENT
148,VALSET1_UKK_case_015_advent.4410_ADVENT,VALSET1_UKK,case_015,advent.4410,ADVENT
149,VALSET1_UKK_case_015_advent.3436_ADVENT,VALSET1_UKK,case_015,advent.3436,ADVENT
150,VALSET1_UKK_case_015_advent.3668_ADVENT,VALSET1_UKK,case_015,advent.3668,ADVENT
151,VALSET1_UKK_case_015_advent.4434_ADVENT,VALSET1_UKK,case_015,advent.4434,ADVENT
152,VALSET1_UKK_case_015_advent.3468_ADVENT,VALSET1_UKK,case_015,advent.3468,ADVENT
153,VALSET1_UKK_case_015_advent.4801_ADVENT,VALSET1_UKK,case_015,advent.4801,ADVENT
154,VALSET1_UKK_case_015_advent.3887_ADVENT,VALSET1_UKK,case_015,advent.3887,ADVENT
155,VALSET1_UKK_case_015_advent.3432_ADVENT,VALSET1_UKK,case_015,advent.3432,ADVENT
156,VALSET1_UKK_case_015_advent.3914_ADVENT,VALSET1_UKK,case_015,advent.3914,ADVENT
157,VALSET1_UKK_case_015_advent.3841_ADVENT,VALSET1_UKK,case_015,advent.3841,ADVENT
158,VALSET1_UKK_case_015_advent.3571_ADVENT,VALSET1_UKK,case_015,advent.3571,ADVENT
159,VALSET1_UKK_case_015_advent.3442_ADVENT,VALSET1_UKK,case_015,advent.3442,ADVENT
160,VALSET1_UKK_case_015_advent.3958_ADVENT,VALSET1_UKK,case_015,advent.3958,ADVENT
161,VALSET1_UKK_case_015_advent.4088_ADVENT,VALSET1_UKK,case_015,advent.4088,ADVENT
162,VALSET1_UKK_case_015_advent.4420_ADVENT,VALSET1_UKK,case_015,advent.4420,ADVENT
163,VALSET1_UKK_case_015_advent.4633_ADVENT,VALSET1_UKK,case_015,advent.4633,ADVENT
164,VALSET1_UKK_case_015_advent.3504_ADVENT,VALSET1_UKK,case_015,advent.3504,ADVENT
165,VALSET1_UKK_case_015_advent.4357_ADVENT,VALSET1_UKK,case_015,advent.4357,ADVENT
166,VALSET1_UKK_case_015_advent.3676_ADVENT,VALSET1_UKK,case_015,advent.3676,ADVENT
167,VALSET1_UKK_case_015_advent.3739_ADVENT,VALSET1_UKK,case_015,advent.3739,ADVENT
168,VALSET1_UKK_case_015_advent.4900_ADVENT,VALSET1_UKK,case_015,advent.4900,ADVENT
169,VALSET1_UKK_case_015_advent.3455_ADVENT,VALSET1_UKK,case_015,advent.3455,ADVENT
170,VALSET1_UKK_case_015_advent.3831_ADVENT,VALSET1_UKK,case_015,advent.3831,ADVENT
171,VALSET1_UKK_case_015_advent.3347_ADVENT,VALSET1_UKK,case_015,advent.3347,ADVENT
172,VALSET1_UKK_case_015_advent.4992_ADVENT,VALSET1_UKK,case_015,advent.4992,ADVENT
173,VALSET1_UKK_case_015_advent.4897_ADVENT,VALSET1_UKK,case_015,advent.4897,ADVENT
174,VALSET1_UKK_case_015_advent.4332_ADVENT,VALSET1_UKK,case_015,advent.4332,ADVENT
175,VALSET1_UKK_case_015_advent.4018_ADVENT,VALSET1_UKK,case_015,advent.4018,ADVENT
176,VALSET1_UKK_case_015_advent.4077_ADVENT,VALSET1_UKK,case_015,advent.4077,ADVENT
177,VALSET1_UKK_case_015_advent.3535_ADVENT,VALSET1_UKK,case_015,advent.3535,ADVENT
178,VALSET1_UKK_case_015_advent.3424_ADVENT,VALSET1_UKK,case_015,advent.3424,ADVENT
179,VALSET1_UKK_case_015_advent.3955_ADVENT,VALSET1_UKK,case_015,advent.3955,ADVENT
180,VALSET1_UKK_case_015_advent.3708_ADVENT,VALSET1_UKK,case_015,advent.3708,ADVENT
181,VALSET1_UKK_case_015_advent.3523_ADVENT,VALSET1_UKK,case_015,advent.3523,ADVENT
182,VALSET1_UKK_case_015_advent.4551_ADVENT,VALSET1_UKK,case_015,advent.4551,ADVENT
183,VALSET1_UKK_case_015_advent.4326_ADVENT,VALSET1_UKK,case_015,advent.4326,ADVENT
184,VALSET1_UKK_case_015_advent.3795_ADVENT,VALSET1_UKK,case_015,advent.3795,ADVENT
185,VALSET1_UKK_case_015_advent.4643_ADVENT,VALSET1_UKK,case_015,advent.4643,ADVENT
186,VALSET1_UKK_case_015_advent.4951_ADVENT,VALSET1_UKK,case_015,advent.4951,ADVENT
187,VALSET1_UKK_case_015_advent.3701_ADVENT,VALSET1_UKK,case_015,advent.3701,ADVENT
188,VALSET1_UKK_case_015_advent.3893_ADVENT,VALSET1_UKK,case_015,advent.3893,ADVENT
189,VALSET1_UKK_case_015_advent.4773_ADVENT,VALSET1_UKK,case_015,advent.4773,ADVENT
190,VALSET1_UKK_case_015_advent.4445_ADVENT,VALSET1_UKK,case_015,advent.4445,ADVENT
191,VALSET1_UKK_case_015_advent.4831_ADVENT,VALSET1_UKK,case_015,advent.4831,ADVENT
192,VALSET1_UKK_case_015_advent.4666_ADVENT,VALSET1_UKK,case_015,advent.4666,ADVENT
193,VALSET1_UKK_case_015_advent.4883_ADVENT,VALSET1_UKK,case_015,advent.4883,ADVENT
194,VALSET1_UKK_case_015_advent.4825_ADVENT,VALSET1_UKK,case_015,advent.4825,ADVENT
195,VALSET1_UKK_case_015_advent.4307_ADVENT,VALSET1_UKK,case_015,advent.4307,ADVENT
196,VALSET1_UKK_case_015_advent.4846_ADVENT,VALSET1_UKK,case_015,advent.4846,ADVENT
197,VALSET1_UKK_case_015_advent.4726_ADVENT,VALSET1_UKK,case_015,advent.4726,ADVENT
198,VALSET1_UKK_case_015_advent.3484_ADVENT,VALSET1_UKK,case_015,advent.3484,ADVENT
199,VALSET1_UKK_case_015_advent.4523_ADVENT,VALSET1_UKK,case_015,advent.4523,ADVENT
200,VALSET1_UKK_case_012_advent.2371_ADVENT,VALSET1_UKK,case_012,advent.2371,ADVENT
201,VALSET1_UKK_case_012_advent.2444_ADVENT,VALSET1_UKK,case_012,advent.2444,ADVENT
202,VALSET1_UKK_case_012_advent.2484_ADVENT,VALSET1_UKK,case_012,advent.2484,ADVENT
203,VALSET1_UKK_case_012_advent.3232_ADVENT,VALSET1_UKK,case_012,advent.3232,ADVENT
204,VALSET1_UKK_case_012_advent.2986_ADVENT,VALSET1_UKK,case_012,advent.2986,ADVENT
205,VALSET1_UKK_case_012_advent.3052_ADVENT,VALSET1_UKK,case_012,advent.3052,ADVENT
206,VALSET1_UKK_case_012_advent.2460_ADVENT,VALSET1_UKK,case_012,advent.2460,ADVENT
207,VALSET1_UKK_case_012_advent.2732_ADVENT,VALSET1_UKK,case_012,advent.2732,ADVENT
208,VALSET1_UKK_case_012_advent.2711_ADVENT,VALSET1_UKK,case_012,advent.2711,ADVENT
209,VALSET1_UKK_case_012_advent.2855_ADVENT,VALSET1_UKK,case_012,advent.2855,ADVENT
210,VALSET1_UKK_case_012_advent.3180_ADVENT,VALSET1_UKK,case_012,advent.3180,ADVENT
211,VALSET1_UKK_case_012_advent.2814_ADVENT,VALSET1_UKK,case_012,advent.2814,ADVENT
212,VALSET1_UKK_case_012_advent.2990_ADVENT,VALSET1_UKK,case_012,advent.2990,ADVENT
213,VALSET1_UKK_case_012_advent.3098_ADVENT,VALSET1_UKK,case_012,advent.3098,ADVENT
214,VALSET1_UKK_case_012_advent.3018_ADVENT,VALSET1_UKK,case_012,advent.3018,ADVENT
215,VALSET1_UKK_case_012_advent.2616_ADVENT,VALSET1_UKK,case_012,advent.2616,ADVENT
216,VALSET1_UKK_case_012_advent.2749_ADVENT,VALSET1_UKK,case_012,advent.2749,ADVENT
217,VALSET1_UKK_case_012_advent.2553_ADVENT,VALSET1_UKK,case_012,advent.2553,ADVENT
218,VALSET1_UKK_case_012_advent.3146_ADVENT,VALSET1_UKK,case_012,advent.3146,ADVENT
219,VALSET1_UKK_case_012_advent.3163_ADVENT,VALSET1_UKK,case_012,advent.3163,ADVENT
220,VALSET1_UKK_case_012_advent.3129_ADVENT,VALSET1_UKK,case_012,advent.3129,ADVENT
221,VALSET1_UKK_case_012_advent.2841_ADVENT,VALSET1_UKK,case_012,advent.2841,ADVENT
222,VALSET1_UKK_case_012_advent.3133_ADVENT,VALSET1_UKK,case_012,advent.3133,ADVENT
223,VALSET1_UKK_case_012_advent.2731_ADVENT,VALSET1_UKK,case_012,advent.2731,ADVENT
224,VALSET1_UKK_case_012_advent.3178_ADVENT,VALSET1_UKK,case_012,advent.3178,ADVENT
225,VALSET1_UKK_case_012_advent.2683_ADVENT,VALSET1_UKK,case_012,advent.2683,ADVENT
226,VALSET1_UKK_case_012_advent.2940_ADVENT,VALSET1_UKK,case_012,advent.2940,ADVENT
227,VALSET1_UKK_case_012_advent.2686_ADVENT,VALSET1_UKK,case_012,advent.2686,ADVENT
228,VALSET1_UKK_case_012_advent.2431_ADVENT,VALSET1_UKK,case_012,advent.2431,ADVENT
229,VALSET1_UKK_case_012_advent.2630_ADVENT,VALSET1_UKK,case_012,advent.2630,ADVENT
230,VALSET1_UKK_case_012_advent.2565_ADVENT,VALSET1_UKK,case_012,advent.2565,ADVENT
231,VALSET1_UKK_case_012_advent.2859_ADVENT,VALSET1_UKK,case_012,advent.2859,ADVENT
232,VALSET1_UKK_case_012_advent.3088_ADVENT,VALSET1_UKK,case_012,advent.3088,ADVENT
233,VALSET1_UKK_case_012_advent.2911_ADVENT,VALSET1_UKK,case_012,advent.2911,ADVENT
234,VALSET1_UKK_case_012_advent.2410_ADVENT,VALSET1_UKK,case_012,advent.2410,ADVENT
235,VALSET1_UKK_case_012_advent.2506_ADVENT,VALSET1_UKK,case_012,advent.2506,ADVENT
236,VALSET1_UKK_case_012_advent.2563_ADVENT,VALSET1_UKK,case_012,advent.2563,ADVENT
237,VALSET1_UKK_case_012_advent.2786_ADVENT,VALSET1_UKK,case_012,advent.2786,ADVENT
238,VALSET1_UKK_case_012_advent.2748_ADVENT,VALSET1_UKK,case_012,advent.2748,ADVENT
239,VALSET1_UKK_case_012_advent.2496_ADVENT,VALSET1_UKK,case_012,advent.2496,ADVENT
240,VALSET1_UKK_case_012_advent.2692_ADVENT,VALSET1_UKK,case_012,advent.2692,ADVENT
241,VALSET1_UKK_case_012_advent.2979_ADVENT,VALSET1_UKK,case_012,advent.2979,ADVENT
242,VALSET1_UKK_case_012_advent.2892_ADVENT,VALSET1_UKK,case_012,advent.2892,ADVENT
243,VALSET1_UKK_case_012_advent.2897_ADVENT,VALSET1_UKK,case_012,advent.2897,ADVENT
244,VALSET1_UKK_case_012_advent.2625_ADVENT,VALSET1_UKK,case_012,advent.2625,ADVENT
245,VALSET1_UKK_case_012_advent.2866_ADVENT,VALSET1_UKK,case_012,advent.2866,ADVENT
246,VALSET1_UKK_case_012_advent.2580_ADVENT,VALSET1_UKK,case_012,advent.2580,ADVENT
247,VALSET1_UKK_case_012_advent.2418_ADVENT,VALSET1_UKK,case_012,advent.2418,ADVENT
248,VALSET1_UKK_case_012_advent.2920_ADVENT,VALSET1_UKK,case_012,advent.2920,ADVENT
249,VALSET1_UKK_case_012_advent.2524_ADVENT,VALSET1_UKK,case_012,advent.2524,ADVENT
250,VALSET1_UKK_case_012_advent.3051_ADVENT,VALSET1_UKK,case_012,advent.3051,ADVENT
251,VALSET1_UKK_case_012_advent.2903_ADVENT,VALSET1_UKK,case_012,advent.2903,ADVENT
252,VALSET1_UKK_case_012_advent.2588_ADVENT,VALSET1_UKK,case_012,advent.2588,ADVENT
253,VALSET1_UKK_case_012_advent.2702_ADVENT,VALSET1_UKK,case_012,advent.2702,ADVENT
254,VALSET1_UKK_case_012_advent.2837_ADVENT,VALSET1_UKK,case_012,advent.2837,ADVENT
255,VALSET1_UKK_case_012_advent.2703_ADVENT,VALSET1_UKK,case_012,advent.2703,ADVENT
256,VALSET1_UKK_case_012_advent.2870_ADVENT,VALSET1_UKK,case_012,advent.2870,ADVENT
257,VALSET1_UKK_case_012_advent.2882_ADVENT,VALSET1_UKK,case_012,advent.2882,ADVENT
